id,name,price,service_item_id
4754,Mắc cài pha lê ,40000000,803
4755,Mắc cài kim loại tự đóng ,35000000,803
4756,Mắc cài sứ tự đóng ,40000000,803
4757,Mắc cài pha lê tự đóng ,50000000,803
4753,Mắc cài sứ trong suốt,35000000,803
4752,Mắc cài kim loại ,25000000,803
4758,LUCCI IPS EMAX PRESS,8000000,2102
4760,LUCCI LISI PRESS,10000000,2102
4761,Nhổ răng thường ,600000,1902
4762,Nhổ răng 8 hàm trên đã mọc chân thẳng ,1500000,1902
4764,Nhổ răng 8 hàm trên mọc ngầm chân thẳng ,2500000,1902
4763,Nhổ răng 8 hàm trên mọc ngầm chân cong ,2500000,1902
4765,"Nhổ răng 8 hàm dưới mọc lệch ngầm, chân cong ",3000000,1902
4767,DIO HÀN QUỐC,15000000,253
4768,DENTINUM HÀN QUỐC,15000000,253
4769,DENTINUM MỸ,23000000,253
4772,"Nhổ răng 8 hàm dước mọc lệch, ngầm ít ",2000000,1902
4773,Nhổ răng 8 dưới đã mọc ,1800000,1902
4775,HT SMILE,8000000,3916
4777,VENUS,3000000,3916
4770,SIC THỤY SỸ,29000000,253
4771,STRAUMANN THỤY SỸ ,34000000,253
4774,LAVA PLUS,8000000,3916
4778,UT SMILE ,10000000,3916
4779,Transforce ,8000000,803
4780,Twimblock,6000000,803
4781,Minivits Hàn Quốc,2000000,803
4782,Minivits Ý,2500000,803
4783,Noritake,8000000,3916
4776,EMAX,6000000,3916
