id,content,pro,pricing_card_id
4802,Bảo hành 7 năm ,t,4767
4803,Ăn nhai tốt ,t,4767
4804,Tích lực nhanh,t,4767
4805,Chịu lực tốt ,t,4767
4806,Dễ bị đào thải bởi cơ thể ,f,4767
4807,Dễ ảnh hưởng bởi ăn uống ,f,4767
4808,Bảo hành 25 năm ,t,4768
4809,Ăn nhai tốt ,t,4768
4810,Tích lực nhanh,t,4768
4811,Chịu lực tốt ,t,4768
4812,Bảo hành trọn đời ,t,4769
4813,Ăn nhai tốt ,t,4769
4814,Tích lực nhanh,t,4769
4815,Chịu lực tốt ,t,4769
4816,Bảo hành trọn đời ,t,4770
4817,Ăn nhai tốt ,t,4770
4818,Tích lực nhanh,t,4770
4819,Chịu lực tốt ,t,4770
4820,Bảo hành trọn đời ,t,4771
4821,Ăn nhai tốt ,t,4771
4822,Tích lực nhanh,t,4771
4823,Chịu lực tốt ,t,4771
4852,Thời gian từ 18 - 30 tháng ,t,4752
4853,Trả góp 12 -15 tháng ,t,4752
4854,Trả trước 3.000.000 - 5.000.000 VNĐ,t,4752
4855,Hợp đồng cam kết hoàn tiền ,t,4752
5252,"Ổn định, khó bong bật ",t,4752
5253,Tính thẩm mỹ,f,4752
